source,title,client_name,order_number,pacing_type,start_date,end_date,strategy,monthly,total,rate
mcp-Google_Drive-read_file_content-1790081135469.txt,Demlang Builders #44528,Demlang Builders #44528,44528,impression,2025-08-01,2025-09-30,Lookalike Display,50000.0,100000.0,1.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Demlang Builders #44528,Demlang Builders #44528,44528,impression,2025-08-01,2025-09-30,Retargeting Display,25000.0,50000.0,1.5
mcp-Google_Drive-read_file_content-1790081135469.txt,EWH SBA #48497,EWH SBA #48497,48497,impression,2025-09-01,2025-11-30,AI SM,25000.0,75000.0,1.75
mcp-Google_Drive-read_file_content-1790081135469.txt,PJ's Plumbing #54491,PJ's Plumbing #54491,54491,impression,2026-07-01,2026-09-30,AI CTV,19000.0,57000.0,12.0
mcp-Google_Drive-read_file_content-1790081135469.txt,PJ's Plumbing #54491,PJ's Plumbing #54491,54491,impression,2026-07-01,2026-09-30,Behavioral CTV,15000.0,45000.0,12.0
mcp-Google_Drive-read_file_content-1790081135469.txt,PJ's Plumbing #54491,PJ's Plumbing #54491,54491,impression,2026-07-01,2026-09-30,Behavioral Video,30000.0,90000.0,6.0
mcp-Google_Drive-read_file_content-1790081135469.txt,PJ's Plumbing #54491,PJ's Plumbing #54491,54491,impression,2026-07-01,2026-09-30,Keyword Video,30000.0,90000.0,6.0
mcp-Google_Drive-read_file_content-1790081135469.txt,PJ's Plumbing #54491,PJ's Plumbing #54491,54491,impression,2026-07-01,2026-09-30,Retargeting CTV,1000.0,3000.0,12.0
mcp-Google_Drive-read_file_content-1790081135469.txt,PJ's Plumbing #54491,PJ's Plumbing #54491,54491,impression,2026-07-01,2026-09-30,Retargeting Video,5000.0,15000.0,6.0
mcp-Google_Drive-read_file_content-1790081135469.txt,UNISIG Deep Hole Drilling Systems #53122,UNISIG Deep Hole Drilling Systems #53122,53122,impression,2026-04-02,2026-06-30,Behavioral B2B Display,50000.0,150000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,UNISIG Deep Hole Drilling Systems #53122,UNISIG Deep Hole Drilling Systems #53122,53122,impression,2026-04-02,2026-06-30,Geo-Fencing Display,10000.0,30000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,UNISIG Deep Hole Drilling Systems #53122,UNISIG Deep Hole Drilling Systems #53122,53122,impression,2026-04-02,2026-06-30,Geo-Retargeting Display,40000.0,120000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,UNISIG Deep Hole Drilling Systems #53122,UNISIG Deep Hole Drilling Systems #53122,53122,impression,2026-04-02,2026-06-30,Lookalike Display,40000.0,120000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,UNISIG Deep Hole Drilling Systems #53122,UNISIG Deep Hole Drilling Systems #53122,53122,impression,2026-04-02,2026-06-30,Retargeting Display,10000.0,30000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Waukesha State Bank #43728,Waukesha State Bank #43728,43728,impression,2025-10-01,2025-10-31,AI Display - Checking KT,30000.0,30000.0,1.5
mcp-Google_Drive-read_file_content-1790081135469.txt,White House of Music #47398,White House of Music #47398,47398,impression,2025-08-19,2025-08-31,AI SM - Lessons,25000.0,25000.0,1.75
mcp-Google_Drive-read_file_content-1790081135469.txt,White House of Music #47398,White House of Music #47398,47398,impression,2025-08-19,2025-08-31,Geo-Fencing SM - Lessons,25000.0,25000.0,1.75
mcp-Google_Drive-read_file_content-1790081135469.txt,White House of Music #47398,White House of Music #47398,47398,impression,2025-08-19,2025-08-31,Lookalike SM - Lessons,25000.0,25000.0,1.75
mcp-Google_Drive-read_file_content-1790081135469.txt,BITO Storage Solutions US,BITO Storage Solutions US,,click,2026-09-10,2026-10-24,PPC Keywords Automated Storage,562.5,562.5,
mcp-Google_Drive-read_file_content-1790081135469.txt,BITO Storage Solutions US,BITO Storage Solutions US,,click,2026-09-10,2026-10-24,PPC Keywords Conveyor & Low Noise,562.5,562.5,
mcp-Google_Drive-read_file_content-1790081135469.txt,Cross Country Communications B2B #38054,Cross Country Communications B2B #38054,38054,impression,2024-04-01,2024-12-31,AI SM,30000.0,270000.0,2.0
